ID	adj.P.Val	P.Value	t	logFC	Gene.symbol
201289_at	6.95E-11	1.27E-15	-19.316086	-5.94112291	CYR61
202768_at	2.43E-09	1.01E-13	-15.7194503	-6.95512411	FOSB
209189_at	2.43E-09	1.33E-13	-15.514348	-5.22397202	FOS
201694_s_at	4.67E-09	3.42E-13	-14.8278778	-4.0543598	EGR1
210764_s_at	5.41E-09	4.95E-13	-14.5653311	-6.53075681	CYR61
201041_s_at	4.39E-07	5.35E-11	-11.5465574	-2.45413476	DUSP1
227404_s_at	4.39E-07	5.63E-11	-11.516511	-4.47587421	EGR1
223316_at	1.94E-06	2.83E-10	-10.5931505	-4.59230998	CCDC3
201693_s_at	2.42E-06	3.98E-10	-10.4060636	-3.41023566	EGR1
220276_at	5.81E-06	1.06E-09	-9.8761837	-5.13632928	RERGL
201466_s_at	9.97E-06	2.01E-09	-9.5433197	-2.08223261	JUN
222162_s_at	1.48E-05	3.25E-09	-9.2947426	-4.94468905	ADAMTS1
209101_at	2.40E-05	5.72E-09	-9.0097251	-3.46726632	CTGF
225242_s_at	3.03E-05	7.82E-09	-8.8533676	-2.71282879	CCDC80
206577_at	3.03E-05	8.32E-09	-8.8225477	-5.87259151	VIP
202340_x_at	3.35E-05	9.81E-09	-8.7414276	-4.32943958	NR4A1
223122_s_at	4.25E-05	1.32E-08	-8.5958052	-5.96037876	SFRP2
209612_s_at	6.70E-05	2.21E-08	-8.3476	-2.65841645	ADH1B
232887_at	7.02E-05	2.44E-08	-8.2991729	-3.75367127	PIRT
212099_at	9.88E-05	3.70E-08	-8.100916	-2.51921757	RHOB
201464_x_at	9.88E-05	3.96E-08	-8.0694665	-1.54166189	JUN
222486_s_at	9.88E-05	3.97E-08	-8.0675311	-3.99613284	ADAMTS1
209613_s_at	1.31E-04	5.50E-08	-7.9154599	-2.76591444	ADH1B
201387_s_at	1.46E-04	6.40E-08	-7.8447724	-3.93534971	UCHL1
205100_at	1.50E-04	7.01E-08	-7.8019719	-3.19751428	GFPT2
218876_at	1.50E-04	7.15E-08	-7.7932003	-3.30556036	TPPP3
202291_s_at	1.72E-04	8.49E-08	-7.7137513	-3.13714003	MGP
201150_s_at	1.72E-04	8.81E-08	-7.696651	-2.81862854	TIMP3
204955_at	1.87E-04	9.92E-08	-7.6418386	-2.36609281	SRPX
37028_at	1.88E-04	1.03E-07	-7.6247386	-1.71183848	PPP1R15A
1555847_a_at	1.95E-04	1.11E-07	-7.5891389	-1.76117381	MIR24-2///MIR23A///LOC284454
222722_at	1.95E-04	1.18E-07	-7.5629815	-3.42275742	OGN
218625_at	1.95E-04	1.19E-07	-7.5581045	-1.93050733	NRN1
229822_at	1.95E-04	1.21E-07	-7.5497219	-3.08315784	PARVB
201531_at	2.00E-04	1.28E-07	-7.5258549	-1.77910314	ZFP36
216834_at	2.27E-04	1.54E-07	-7.4426459	-3.61065365	RGS1
218541_s_at	2.27E-04	1.54E-07	-7.441551	-2.19057618	C8orf4
208763_s_at	2.38E-04	1.65E-07	-7.4087113	-2.15064929	TSC22D3
1554375_a_at	2.71E-04	1.96E-07	7.33228	2.81018583	NR1H4
204938_s_at	2.71E-04	1.99E-07	-7.3263222	-5.49666111	PLN
